search_id,searched_at,source,query,result_count,export_file,notes
S001,2026-07-15,arXiv,"agent memory benchmark LongMemEval LoCoMo memory update temporal",4,studies.csv,"Seed search; result count is included records, not total engine hits"
S002,2026-07-15,arXiv,"AI agent memory forgetting benchmark ForgetEval Springdrift",2,studies.csv,"Springdrift primary paper found; ForgetEval primary paper not yet verified"
S003,2026-07-15,arXiv,"agent memory provenance poisoning MINJA MemLineage",2,studies.csv,"Security seed search"
S004,2026-07-15,web,"ForgetEval deeplethe lethe source scorer",1,studies.csv,"Package page found; source and license inspection pending"
S005,2026-07-16,GitHub,"deeplethe/lethe ForgetEval source inspection",1,studies.csv,"Pinned commit b6053b7; generator determinism independently checked"
S006,2026-07-16,arXiv,"Mem0 Zep Graphiti MemGPT HippoRAG 2 primary papers",4,studies.csv,"Seeded mandatory system-baseline cluster; artifact/license extraction remains"
S007,2026-07-16,GitHub,"getzep/graphiti temporal fields search filters episode deletion",1,studies.csv,"Pinned commit 20a6728; Apache-2.0; source semantics inspected, system scores not reproduced"
S008,2026-07-16,GitHub,"mem0ai/mem0 update delete history entity cleanup",1,studies.csv,"Pinned commit 633b035; Apache-2.0; local source inspection only, benchmark scores not reproduced"
S009,2026-07-16,ACL Anthology,"agent memory temporal revision forgetting benchmark",5,studies.csv,"Official venue search; screened records include Hindsight, MemBench, experience-following, Mem2ActBench, APEX-MEM"
S010,2026-07-16,OpenReview,"agent memory temporal update benchmark provenance poisoning",6,studies.csv,"Official venue search; included direct persistent-memory attack/defense works; workshop status retained"
S011,2026-07-16,USENIX,"agent memory poisoning provenance LLM",2,exclusions.csv,"AgentFuzz and parametric-backdoor Lethe screened out of persistent external-memory scope"
S012,2026-07-16,"ACM DL; IEEE Xplore","LLM agent memory temporal forgetting provenance",0,studies.csv,"No directly screenable official result returned through the available search interface; absence is not evidence of no relevant work"
S013,2026-07-16,GitHub,"vectorize-io/hindsight temporal invalidation history deletion lineage",1,studies.csv,"Pinned commit 1549987; MIT; schema and deletion migrations inspected, benchmark scores not reproduced"
S014,2026-07-16,GitHub,"A-MemGuard official artifact source and reproducibility",1,studies.csv,"Pinned commit dd92f7f; MIT; environment and evaluation paths inspected, models/data/system scores not reproduced"
S015,2026-07-16,GitHub,"experience-following agent memory management official code",1,studies.csv,"Pinned commit 4dc29e3; patch artifact inspected; no repository license found and execution requires AgentDriver data/API"
S016,2026-07-16,"ICLR Proceedings; GitHub","LongMemEval deterministic rescreen sample source artifact license scorer",1,rescreen-log.csv,"Pinned commit 9e0b455; MIT code; external dataset license unclear; QA judge and retrieval abstention exclusion verified"
S017,2026-07-16,GitHub,"seamus-brady/springdrift artifact decay evaluation reproducibility",1,studies.csv,"Pinned commit 19b52b9; AGPL-3.0-or-later; experiment 5 run twice without Ollama and produced stable fallback hashes; full runtime unavailable because Gleam/Erlang and provider credentials are absent"
S018,2026-07-16,"ACL Anthology; GitHub","Mem2ActBench official code data artifact availability",1,studies.csv,"ACL Anthology links Cantaloupe-M/Mem2ActBench, but the URL returned 404 and unauthenticated git clone failed; no commit, license, or data checksum could be pinned"
