study_id,title,year,venue_or_status,primary_url,artifact_url,substrate,time_semantics,operations,scorer,security,review_state,ledger_ids,caveat
LME1,LongMemEval,2025,ICLR,https://proceedings.iclr.cc/paper_files/paper/2025/hash/d813d324dbf0598bbdc9c8e79740ed01-Abstract-Conference.html,https://github.com/xiaowu0162/LongMemEval/tree/9e0b455f4ef0e2ab8f2e582289761153549043fc,external memory,session timestamps,"retrieval; update; abstention","deterministic retrieval metrics; GPT-4o QA judge",no,single_screened,"E-001;E-006;E-036","Same-reviewer rescreen agreed; MIT code, external benchmark data license unclear; retrieval skips 30 abstention cases"
LOC1,Evaluating Very Long-Term Conversational Memory of LLM Agents,2024,ACL,https://arxiv.org/abs/2402.17753,,conversation history,event graph,"QA; summarization; generation",mixed,no,single_screened,E-007,"Not operation-level lifecycle truth"
MIN1,A Practical Memory Injection Attack against LLM Agents,2025,NeurIPS,https://arxiv.org/abs/2503.03704,,agent memory,none,injection,attack success,poisoning,single_screened,E-008,"Defense utility is outside its primary scope"
SPR1,Springdrift,2026,arXiv preprint,https://arxiv.org/abs/2604.04660,https://github.com/seamus-brady/springdrift/tree/19b52b9c794dd5cdfaa5e6d9efba0dfa8049dc01,"append-only JSONL; git-backed recovery",read-time confidence decay,"write; retrieve; supersede; recover","case study; experiment scripts",normative gating,single_screened,"E-009;E-040","AGPL-3.0-or-later; experiment-5 silently substitutes zero vectors when Ollama is unavailable, so fallback retrieval scores are not comparable to committed embedding-backed results; exact bitemporal semantics not established"
SCE1,When Stored Evidence Stops Being Usable,2026,arXiv preprint,https://arxiv.org/abs/2605.07313,,multiple agent memories,scale-conditioned,retrieve,"budget-compliant reliability",no,single_screened,E-011,"Artifact reproduction pending"
MLI1,MemLineage,2026,arXiv preprint,https://arxiv.org/abs/2605.14421,,"Merkle log; derivation DAG",lineage order,"write; derive; gate",deterministic harness,"signatures; action gating",single_screened,E-010,"Artifact and performance reproduction pending"
LMV2,LongMemEval-V2,2026,arXiv preprint,https://arxiv.org/abs/2605.12493,,"RAG; file-based agent",trajectory order,"store; retrieve experience",QA metrics,no,single_screened,E-012,"Dataset license and code pending"
FGE1,ForgetEval,2026,open-source benchmark,https://github.com/deeplethe/lethe/tree/b6053b7bdacc78a91b9ea4bb25f32edad278c495/bench/forgeteval,https://github.com/deeplethe/lethe,"SQLite/vector adapter protocol",sequence order,"supersession; release/decay; amnesia; purge; drift","deterministic top-k substring",no,single_screened,"E-005;E-013","MIT; generation reproduced, published adapter scores not reproduced"
MEM0,Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory,2025,arXiv preprint,https://arxiv.org/abs/2504.19413,https://github.com/mem0ai/mem0/tree/633b0353422ff7634f8ec72daa4d1aed9e224983,"vector memory; SQLite change history; optional entity projection",created_at and updated_at,"extract; add; update; delete; retrieve","LOCOMO LLM judge and latency",no,single_screened,"E-018;E-025","Apache-2.0; update/delete source inspected; published scores and graph variant not reproduced"
ZEP1,Zep: A Temporal Knowledge Graph Architecture for Agent Memory,2025,arXiv preprint,https://arxiv.org/abs/2501.13956,https://github.com/getzep/graphiti/tree/20a6728fbda9fb257ebf84584c2ccf37801a7cf9,"temporal knowledge graph; physical graph deletion","created_at; valid_at; invalid_at; expired_at","ingest; synthesize; retrieve; remove episode","DMR and LongMemEval",no,single_screened,"E-019;E-024","Apache-2.0; fields are searchable, but full transaction-time as-of equivalence and published scores were not reproduced"
MGP1,MemGPT: Towards LLMs as Operating Systems,2023,arXiv preprint,https://arxiv.org/abs/2310.08560,https://github.com/letta-ai/letta,hierarchical memory tiers,conversation order,"move; page; retrieve",task evaluation,no,single_screened,E-020,"Virtual-context baseline, not a bitemporal oracle"
HPR2,From RAG to Memory: Non-Parametric Continual Learning for Large Language Models,2025,ICML,https://arxiv.org/abs/2502.14802,https://github.com/OSU-NLP-Group/HippoRAG,"knowledge graph plus passages",ingestion order,"index; graph retrieve",factual and associative retrieval,no,single_screened,E-021,"Retrieval baseline; lifecycle mutation and purge are not established by abstract"
HIN1,Hindsight: Structured Agent Memory that Retains Recalls and Reflects,2026,ACL System Demonstrations,https://aclanthology.org/2026.acl-demo.27/,https://github.com/vectorize-io/hindsight/tree/15499870151bc381d29ed307aa8610764fdbb378,"PostgreSQL/pgvector; four logical networks; temporal/semantic/entity links; invalidation archive; history",event_date; occurred_start/end; mentioned_at; created/updated_at,"retain; recall; reflect; curate; invalidate; delete","LongMemEval; LoCoMo",audit log,single_screened,"E-027;E-032","MIT; source shows derived-deletion repair migrations; full transaction-time as-of replay and scores not reproduced"
EXP1,How Memory Management Impacts LLM Agents: An Empirical Study of Experience-Following Behavior,2026,ACL,https://aclanthology.org/2026.acl-long.27/,https://github.com/yuplin2333/agent_memory_manage/tree/4dc29e366965de25bb61b42ee4d0188f0f453c28,AgentDriver experience-memory patch,interaction order,"add; delete; retrieve",task behavior,error propagation,single_screened,"E-028;E-035","No repository license found; requires upstream AgentDriver/data/API keys and manual patching; scores not reproduced"
M2A1,Mem2ActBench: A Benchmark for Evaluating Long-Term Memory,2026,ACL,https://aclanthology.org/2026.acl-long.370/,https://github.com/Cantaloupe-M/Mem2ActBench,agent memory,dynamic memory evolution,"retrieve; infer; tool use",QA and action evaluation,no,single_screened,"E-029;E-046","Official ACL page links code/data, but the GitHub URL returned 404 on 2026-07-16; no commit, license, scorer, or dataset checksum could be pinned"
AMG1,A-MemGuard: A Proactive Defense Framework For LLM-Based Agent Memory,2026,ICML,https://openreview.net/forum?id=udqe7UZUZ6,https://github.com/TangciuYueng/AMemGuard/tree/dd92f7ff21b9a904a703141be3d5b80170e57228,"dual memory; consensus validation; AgentPoison-derived harness",interaction order,"validate; store lessons; retrieve",attack and utility evaluation,poisoning defense,single_screened,"E-030;E-034","MIT; pinned source inspected; external models/data/API or GPU required, published results not reproduced"
MIN2,MemIncept: Steering LLM Agents via Cooperative Stealthy Memory Injections,2026,ICML,https://openreview.net/forum?id=1YNrlSSRsk,,persistent agent memory,interaction order,injection,attack success,poisoning,single_screened,E-031,"Recently published OpenReview record; adaptive attack artifact pending"
GBM1,A Graph-Native Bitemporal Memory Store for Conversational AI Agents,2026,arXiv preprint (cs.DB),https://arxiv.org/abs/2607.26520,,graph store (agent-local),valid time + transaction time (closed-open intervals),write; point-in-time retrieval; immutable history,LongMemEval R@10 (60 sampled questions),no,single_screened,E-059,Preprint read at abstract/metadata level; no comparison baselines reported; purge/provenance not evident; artifact/licence unverified
TOK1,TOKI: A Bitemporal Operator Algebra for Contradiction Resolution in LLM-Agent Persistent Memory,2026,arXiv preprint (cs.DB),https://arxiv.org/abs/2606.06240,https://github.com/ZenAlexa/toki-bitemporal-memory,dual-row bitemporal schema,valid time + transaction time,bitemporal operator family; contradiction resolution,LoCoMo slice (1444 questions); verdict matrix over eight systems,no,single_screened,E-059,Closest prior work to the bitemporal-correctness contribution; self-describes cross-system comparison as underpowered; code released but licence and artifact not verified
MST1,Temporal Validity in Retrieval Memory: Eliminating Stale-Fact Errors for AI Agents over Evolving Knowledge (MemStrata),2026,arXiv preprint,https://arxiv.org/abs/2606.26511,,bi-temporal ledger,valid time + transaction time,deterministic (subject relation object) supersession,stale-fact-error rate; accuracy on six benchmarks (local 7B),no,single_screened,E-060,Preempts deterministic-supersession and stale-fact-rate framing; single-author preprint; author-reported numbers not reproduced
MAB1,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions (MemoryAgentBench),2026,ICLR,https://arxiv.org/abs/2507.05257,https://github.com/HUST-AI-HYZ/MemoryAgentBench,benchmark over external memory agents,incremental multi-turn chunking,accurate retrieval; test-time learning; long-range understanding; selective forgetting,task accuracy per competency,no,single_screened,E-061,Refereed prior art for forgetting evaluation; EventQA and FactConsolidation datasets; licence and scorer not inspected
